,Station_name,Location,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12
1,Alipur..Delhi...DPCC,"Alipur, Delhi - DPCC",28.815329,77.15301,193.1548387,118.48,83.7516129,83.05962963,90.5632,63.67133333,45.16387097,32.01806452,36.85333333,126.6041935,203.1376667,195.225
2,Anand.Vihar..Delhi...DPCC,"Anand Vihar, Delhi - DPCC",28.6508,77.3152,235.8670968,142.4732143,106.8290323,98.05366667,111.8048387,73.31233333,54.23903226,41.12548387,43.407,153.4535484,236.9356667,244.2932258
3,Ashok.Vihar..Delhi...DPCC,"Ashok Vihar, Delhi - DPCC",28.688455,77.17575,240.2658065,141.6771429,92.42870968,95.326,94.03032258,59.46866667,43.29548387,31.0616129,37.184,139.0087097,234.6096667,239.4490323
4,Aya.Nagar..Delhi...IMD,"Aya Nagar, New Delhi - IMD",28.48,77.13,128.0948387,80.62407407,53.79451613,52.76222222,60.6983871,52.15633333,45.09129032,30.03833333,35.37533333,111.0696774,172.5366667,163.8683871
5,Bawana..Delhi...DPCC,"Bawana, Delhi - DPCC",28.7762,77.051074,235.0787097,149.0739286,108.2709677,103.136,120.1351613,70.26766667,51.37548387,42.90741935,54.56933333,153.9264516,250.8686667,234.1393548
6,Burari.Crossing..Delhi...IMD,"Burari Crossing, New Delhi - IMD",28.72835,77.197484,191.6709677,107.4548148,79.9716129,91.25888889,92.46935484,61.607,45.70483871,42.68833333,40.4492011,126.4832258,189.6723333,175.2069231
7,CRRI.Mathura.Road..Delhi...IMD,"CRRI Mathura Road, New Delhi - IMD",28.55,77.28,210.2896774,102.8882143,80.4483871,82.75566667,77.55322581,62.03566667,49.95677419,34.59580645,37.59666667,121.48,198.5393333,184.9480645
8,Dr..Karni.Singh.Shooting.Range..Delhi...DPCC,"Dr. Karni Singh Shooting Range, Delhi - DPCC ",28.499727,77.267095,178.5741935,110.225,69.8483871,65.862,67.17645161,49.98633333,36.01290323,22.61387097,32.36666667,113.5080645,208.148,216.3858065
9,DTU..Delhi...CPCB,"DTU, New Delhi - CPCB",28.7504,77.11717,212.6277419,118.7708333,92.80870968,84.61862069,102.81,64.609,54.98290323,43.83129032,50.38666667,138.3309677,229.721,231.2145161
10,Dwarka.Sector.8..Delhi...DPCC,"Dwarka-Sector 8, Delhi - DPCC",28.572038,77.070837,185.4903226,95.85892857,85.82096774,79.05466667,91.20709677,67.52766667,45.33677419,37.14645161,42.178,130.2629032,224.9446667,223.4496774
12,IGI.Airport..T3...Delhi...IMD,"IGI Airport Terminal - 3, New Delhi - IMD",28.56,77.094,159.4480645,99.6537037,72.42548387,69.23366667,67.77733333,39.319375,34.42967742,30.29157895,36.29083333,104.0225806,194.2693333,170.4993548
13,IHBAS..Dilshad.Garden..Delhi...CPCB,"IHBAS, Dilshad Garden,New Delhi - CPCB",28.68255,77.30512,208.7483871,128.1575,92.44774194,110.4703333,113.2551613,96.281,72.65677419,50.05933333,36.449,112.4029032,164.2103333,173.3274194
14,ITO..Delhi...CPCB,"ITO, New Delhi - CPCB",28.62406,77.2411,192.1151613,127.8396429,86.9183871,89.16586207,85.63612903,65.57233333,47.16064516,38.92096774,43.52862069,121.2454839,208.4676667,197.0690323
15,Jahangirpuri..Delhi...DPCC,"Jahangirpuri, Delhi - DPCC",28.725833,77.162752,248.4787097,143.6871429,107.3725806,110.3126667,98.2883871,74.575,55.7116129,40.11193548,42.934,144.5225806,212.392,259.2170968
16,Jawaharlal.Nehru.Stadium..Delhi...DPCC,"Jawaharlal Nehru Stadium, Delhi - DPCC ",28.582846,77.234366,217.4822581,126.4446429,74.54866667,65.05866667,71.86451613,51.39033333,35.25225806,24.50129032,32.346,118.5016129,208.8173333,224.5103226
17,Lodhi.Road..Delhi...IMD,"Lodhi Road, New Delhi - IMD",28.59,77.24,144.7606452,84.83407407,56.94482759,57.533,72.32866667,58.872,44.07225806,31.02806452,40.80866667,112.9119355,176.141,147.54
18,Major.Dhyan.Chand.National.Stadium..Delhi...DPCC,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.612442,77.237272,171.07,102.0446429,69.91967742,70.871,80.48032258,59.75933333,40.76645161,29.77580645,34.979,111.0564516,181.1616667,172.9741935
19,Mandir.Marg..Delhi...DPCC,"Mandir Marg, New Delhi - DPCC",28.6341,77.2005,187.6116129,118.7814286,73.45774194,76.16833333,89.12354839,72.98133333,48.49967742,32.92677419,39.079,115.4654839,191.4193333,192.843871
20,Mundka..Delhi...DPCC,"Mundaka, Delhi - DPCC",28.6852183,77.0096985,234.146129,133.6228571,112.3287097,97.22033333,115.1693548,66.092,43.44967742,35.53967742,44.02966667,140.4306452,242.4113333,245.893
21,Najafgarh..Delhi...DPCC,"NSIT Dwarka, New Delhi - CPCB",28.608052,77.036187,165.7954839,109.9753571,83.42225806,68.436,86.18935484,55.56466667,34.34064516,22.00225806,32.05178571,103.1641935,189.4133333,158.5606452
22,Narela..Delhi...DPCC,"Najafgarh, Delhi - DPCC",28.609013,76.985453,196.6003226,115.0889286,77.58258065,89.68,104.166129,73.213,52.85967742,32.14967742,40.594,130.0193548,204.3083333,193.0483871
23,Nehru.Nagar..Delhi...DPCC,"Narela, Delhi - DPCC",28.85396,77.091784,274.9651613,157.0032143,89.47935484,69.81766667,76.05612903,51.95966667,39.81225806,32.32032258,38.40533333,137.7970968,240.352,276.5454839
24,North.Campus..DU..Delhi...IMD,"Nehru Nagar, Delhi - DPCC",28.563867,77.26081,197.26,156.927037,92.36290323,92.82566667,121.17,51.13823529,38.23903226,32.72290323,35.66433333,121.132069,191.1676667,181.4629032
25,NSIT.Dwarka..Delhi...CPCB,"North Campus, DU, New Delhi - IMD",28.688812,77.207271,184.4970968,110.2217857,92.81548387,107.8176667,116.3354839,94.37033333,67.35580645,47.5783871,53.12566667,114.7641935,182.3156667,187.9809677
26,Okhla.Phase.2..Delhi...DPCC,"Okhla Phase-2, Delhi - DPCC",28.535763,77.276433,216.7141935,111.8742857,80.67870968,75.07133333,72.07354839,51.44689655,42.43967742,35.494,37.44433333,121.2816129,207.3343333,231.3858065
27,Patparganj..Delhi...DPCC,"Patparganj, Delhi - DPCC",28.619988,77.292355,195.0487097,112.0110714,71.52483871,67.646,72.06,61.601,49.88,28.3916129,33.80833333,112.3603226,188.7213333,205.5058065
28,Punjabi.Bagh..Delhi...DPCC,"Punjabi Bagh, Delhi - DPCC",28.6683,77.1167,215.0068966,125.6235714,79.09322581,72.73633333,85.78354839,53.39133333,40.39580645,37.19193548,40.54933333,124.447,211.287,202.3193548
29,Pusa..Delhi...DPCC,"Pusa, Delhi - DPCC",28.6687222,77.2277907,201.0629032,117.9467857,72.73290323,61.60433333,75.19032258,46.539,36.62032258,25.11935484,31.578,110.5248387,208.443,217.1329032
30,Pusa..Delhi...IMD,"Pusa, New Delhi - IMD",28.637672,77.157144,149.7458065,86.5612,58.71633333,56.03933333,67.78,50.72533333,40.25225806,27.83806452,33.323,106.9941935,172.1473333,140.4606452
31,R.K.Puram..Delhi...DPCC,"R K Puram, New Delhi - DPCC",28.5648,77.1744,223.3119355,143.7928571,96.82166667,60.64133333,64.12677419,61.534,51.43483871,34.3083871,41.096,91.42,176.233,173.1558065
32,Rohini..Delhi...DPCC,"Rohini, Delhi - DPCC",28.749472,77.056533,249.6716129,142.8839286,100.711,93.75166667,109.0758065,73.623,64.11967742,47.25193548,61.10333333,143.6416129,238.0973333,259.223871
33,Shadipur..Delhi...CPCB,"Shadipur, New Delhi - CPCB",28.651558,77.158194,199.6564286,154.2835714,103.14,124.6553333,129.3358065,109.584,66.09935484,46.60896552,50.28033333,105.5664516,148.2293333,182.253871
34,Sirifort..Delhi...CPCB,"Sirifort, New Delhi - CPCB",28.54965,77.21215,198.2467742,132.0178571,84.68387097,74.6992,73.46612903,55.82833333,41.53064516,33.84709677,45.62366667,132.0764516,209.4666667,214.5041935
35,Sonia.Vihar..Delhi...DPCC,"Sonia Vihar, Delhi - DPCC",28.733247,77.249589,224.4132258,129.0621429,83.95290323,80.83033333,84.06870968,61.455,51.46166667,33.10290323,33.521,106.6954839,186.3126667,190.5919355
36,Sri.Aurobindo.Marg..Delhi...DPCC,"Sri Aurobindo Marg, Delhi - DPCC",28.5313037,77.1882499,171.4787097,105.3325,65.43387097,58.99066667,66.40645161,47.58366667,36.83483871,24.38129032,34.22033333,102.59,194.6033333,183.266129
37,Vivek.Vihar..Delhi...DPCC,"Vivek Vihar, Delhi - DPCC",28.671246,77.317654,218.8945161,125.0921429,84.8183871,82.047,84.71129032,60.347,46.12413793,33.07096774,37.76433333,141.2925806,231.225,232.9293548
38,Wazirpur..Delhi...DPCC,"Wazirpur, Delhi - DPCC",28.700217,77.16379,265.5419355,165.9953571,100.4696774,101.502,108.8245161,67.376,54.26741935,43.38935484,55.65633333,149.9445161,245.9693333,260.0932258
